Time,Value
4/12/2016 7:19:00 AM,115
4/12/2016 7:19:05 AM,114
4/12/2016 7:19:10 AM,113
4/12/2016 7:19:25 AM,113
4/12/2016 7:19:30 AM,117
4/12/2016 7:19:35 AM,121
4/12/2016 7:19:40 AM,112
4/12/2016 7:19:45 AM,106
4/12/2016 7:19:50 AM,109
4/12/2016 7:19:55 AM,111
4/12/2016 7:20:10 AM,113
4/12/2016 7:20:15 AM,114
4/12/2016 7:20:20 AM,113
4/12/2016 7:20:25 AM,112
4/12/2016 7:20:30 AM,109
4/12/2016 7:20:35 AM,109
4/12/2016 7:20:40 AM,108
4/12/2016 7:20:50 AM,107
4/12/2016 7:20:55 AM,105
4/12/2016 7:21:00 AM,104
4/12/2016 7:21:10 AM,104
4/12/2016 7:21:20 AM,103
4/12/2016 7:21:25 AM,102
4/12/2016 7:21:30 AM,100
4/12/2016 7:21:35 AM,97
4/12/2016 7:21:40 AM,96
4/12/2016 7:21:50 AM,95
4/12/2016 7:21:55 AM,94
4/12/2016 7:22:00 AM,93
4/12/2016 7:22:05 AM,92
4/12/2016 7:22:15 AM,90
4/12/2016 7:22:25 AM,92
4/12/2016 7:22:30 AM,92
4/12/2016 7:22:40 AM,92
4/12/2016 7:22:50 AM,93
4/12/2016 7:22:55 AM,95
4/12/2016 7:23:10 AM,93
4/12/2016 7:23:15 AM,91
4/12/2016 7:23:20 AM,88
4/12/2016 7:23:25 AM,87
4/12/2016 7:23:30 AM,86
4/12/2016 7:23:35 AM,86
4/12/2016 7:23:50 AM,86
4/12/2016 7:24:00 AM,85
4/12/2016 7:24:15 AM,85
4/12/2016 7:24:30 AM,84
4/12/2016 7:24:35 AM,85
4/12/2016 7:24:40 AM,86
4/12/2016 7:24:45 AM,85
4/12/2016 7:24:50 AM,82
4/12/2016 7:25:00 AM,83
4/12/2016 7:25:10 AM,84
4/12/2016 7:25:15 AM,86
4/12/2016 7:25:20 AM,88
4/12/2016 7:25:25 AM,87
4/12/2016 7:25:30 AM,88
4/12/2016 7:25:35 AM,89
4/12/2016 7:25:40 AM,90
4/12/2016 7:25:45 AM,91
4/12/2016 7:25:50 AM,89
4/12/2016 7:25:55 AM,90
4/12/2016 7:26:05 AM,91
4/12/2016 7:26:10 AM,93
4/12/2016 7:26:15 AM,94
4/12/2016 7:26:20 AM,91
4/12/2016 7:26:25 AM,91
4/12/2016 7:26:35 AM,88
4/12/2016 7:26:40 AM,86
4/12/2016 7:26:45 AM,85
4/12/2016 7:26:50 AM,84
4/12/2016 7:26:55 AM,82
4/12/2016 7:27:00 AM,81
4/12/2016 7:27:05 AM,80
4/12/2016 7:27:10 AM,79
4/12/2016 7:27:25 AM,78
4/12/2016 7:27:30 AM,79
4/12/2016 7:27:35 AM,78
4/12/2016 7:27:50 AM,78
4/12/2016 7:27:55 AM,77
4/12/2016 7:28:10 AM,77
